0, 1024, 10024
0, 1024, 9077
0, 1024, 8799
0, 1024, 8865
0, 1024, 8855
0, 1024, 9832
0, 1024, 8957
0, 1024, 8936
0, 1024, 9027
0, 1024, 9136
0, 2048, 52880
0, 2048, 52306
0, 2048, 54626
0, 2048, 56159
0, 2048, 52226
0, 2048, 52138
0, 2048, 53010
0, 2048, 54551
0, 2048, 52474
0, 2048, 52164
0, 4096, 274668
0, 4096, 257870
0, 4096, 278947
0, 4096, 270202
0, 4096, 267396
0, 4096, 278797
0, 4096, 255215
0, 4096, 253128
0, 4096, 252825
0, 4096, 251094
0, 8192, 1198661
0, 8192, 1253252
0, 8192, 1186174
0, 8192, 1230176
0, 8192, 1405297
0, 8192, 1258167
0, 8192, 1189700
0, 8192, 1188428
0, 8192, 1188705
0, 8192, 1188586
0, 16384, 8030483
0, 16384, 8541940
0, 16384, 13603911
0, 16384, 8432221
0, 16384, 7531572
0, 16384, 8445445
0, 16384, 9224832
0, 16384, 12325298
0, 16384, 9472225
0, 16384, 8527896
1, 1024, 3457
1, 1024, 3469
1, 1024, 3897
1, 1024, 4486
1, 1024, 3750
1, 1024, 3557
1, 1024, 3421
1, 1024, 3814
1, 1024, 3583
1, 1024, 3441
1, 2048, 14348
1, 2048, 15344
1, 2048, 14665
1, 2048, 15495
1, 2048, 17444
1, 2048, 15649
1, 2048, 17306
1, 2048, 16502
1, 2048, 16093
1, 2048, 16008
1, 4096, 61254
1, 4096, 59800
1, 4096, 60550
1, 4096, 58574
1, 4096, 60081
1, 4096, 58914
1, 4096, 60289
1, 4096, 59102
1, 4096, 64544
1, 4096, 65323
1, 8192, 240986
1, 8192, 244549
1, 8192, 239309
1, 8192, 240082
1, 8192, 263334
1, 8192, 238588
1, 8192, 241040
1, 8192, 236511
1, 8192, 248704
1, 8192, 243602
1, 16384, 1259868
1, 16384, 953065
1, 16384, 1347247
1, 16384, 1273940
1, 16384, 1397019
1, 16384, 1471960
1, 16384, 1325101
1, 16384, 1303280
1, 16384, 1331133
1, 16384, 13948270
