./laplace, 512, 1, 4.204004
./laplace, 1024, 1, 17.548815
./laplace, 2048, 1, 76.868279
./laplace_vec, 512, 1, 3.248734
./laplace_vec, 1024, 1, 13.591241
./laplace_vec, 2048, 1, 60.024839
./laplace_omp, 512, 1, 3.986706
./laplace_omp, 512, 2, 2.481313
./laplace_omp, 512, 3, 2.664023
./laplace_omp, 1024, 1, 15.337704
./laplace_omp, 1024, 2, 9.218728
./laplace_omp, 1024, 3, 9.876598
./laplace_omp, 2048, 1, 65.666409
./laplace_omp, 2048, 2, 36.850189
./laplace_omp, 2048, 3, 38.591171
./laplace_omp_vec, 512, 1, 2.076559
./laplace_omp_vec, 512, 2, 1.225685
./laplace_omp_vec, 512, 3, 0.925183
./laplace_omp_vec, 1024, 1, 7.618921
./laplace_omp_vec, 1024, 2, 4.038153
./laplace_omp_vec, 1024, 3, 3.063765
./laplace_omp_vec, 2048, 1, 33.620965
./laplace_omp_vec, 2048, 2, 15.217518
./laplace_omp_vec, 2048, 3, 10.825928
./teste, 2048, 1, 85.176855
